V_ID|V_VIN|V_MAKE|V_MODEL|V_YEAR|V_LISCENSE_PLATE|V_COLOR|ACTIVE_ID
57|2FMGK5BC0ABD73600|Peterbilt|520|2013|FT1-1A36|Black|1
58|1GNSCBE05DR309007|Kenworth|K270E|2007|AZ0-9I63|Red|1
59|1C3EL46X65N505015|Kenworth|T880|2011|PV1-8L36|Black|2
60|3N1AB6AP9CL737656|Kenworth|T880|2015|6W4-9A36|White|2
61|4V4JDBRF8TR809309|Peterbilt|367|2011|YY7-0V63|Red|1
62|5N1AR2MN5EC639066|Kenworth|W900L|2009|SH6-4M36|Yellow|1
63|JTDKB20U273296665|Kenworth|T880|2015|KH0-7P36|Black|1
64|KM8JUCAG9FU908109|Kenworth|T170|2019|6H1-6U63|White|1
65|3VWJM71K48M168490|Peterbilt|520|2019|7P0-2T36|Black|1
66|1G1ZG57B19F123557|Peterbilt|569|2016|DE8-4936|Yellow|1
67|1G4HP54K014129658|Kenworth|K270E|2019|OY4-2R36|Black|1
68|1GNSCCE07BR355358|Kenworth|W900|2019|YM3-1G36|Yellow|1
69|1FAFP10P2XW141576|Peterbilt|367|2017|Al7-6125|Black|2
70|2HSCEAXR7YC012070|Peterbilt|569|2016|HA7-K25|Black|2
71|WDBJF65J3YB093912|Kenworth|T880|2006|VC5-7425|Green|1
72|KNAFU5A27C5688952|Freightliner|eM2|2013|YG7-8525|Green|1
73|1D7RB1GPXAS185874|Kenworth|T370|2011|GM9-8S25|Black|4
74|1N4AA51E09C843514|Kenworth|T680|2011|H41-8E25|White|3
75|2B3HD46Z82H110282|Peterbilt|569|2018|KY2-1H25|Black|2
76|4E3AK54FXSE191774|Kenworth|K370E|2014|KX6-0N25|Black|2
77|4S3BG6856W7636770|Kenworth|T370|2017|XL3-3V35|Black|1
78|WDBWK73F09F143987|Kenworth|K270E|2013|AA8-4T63|Green|2
79|JNKHF14C0MT090653|Peterbilt|569|2012|UA0-5I33|Black|1
80|1FTFW1EF5DFA79986|Kenworth|T270|2016|RI5-1445|Black|2
81|19XFB2F55DE061070|Kenworth|W900|2015|ZG4-3054|Black|1
82|1D7HE22K26S555758|Peterbilt|520|2019|687-2254|White|3
83|2FMDK4JC4DBB89814|Kenworth|T170|2019|YC5-7345|Black|1
84|1C6RR7LM8ES473782|Kenworth|T370|2014|AN3-1P35|White|1
85|3GSCL33P68S652273|Freightliner|eM2|2015|XW6-5335|Green|2
86|4T1BG22K8YU652783|Peterbilt|569|2016|QD8-1I35|Black|1
87|2A4RR5DG9BR730946|Kenworth|T880|2012|W08-4N35|Grey|1
88|JTDKB20U977678801|Peterbilt|367|2017|FN9-6M35|Black|1
89|5NPEB4AC7DH761732|Kenworth|T370|2014|AN7-0P52|White|1
90|1GBGC24R8XR717525|Kenworth|W900|2015|AN5-9P25|Black|3
91|1FMJU1J57BEF16835|Kenworth|T170|2019|QE6-9w35|White|4
92|1HGCG5658WA121470|Kenworth|T680|2010|XN4-4J35|Black|4
93|1FMFU20576LA76257|Freightliner|eM2|2012|FP6-5V53|White|1
94|JN8AZ1MWXDW321873|Peterbilt|367|2011|DV1-7V52|Black|1
95|1B3AL56R72N189204|Peterbilt|367|2017|LW0-5Y5|White|1
96|WBAVA33557PG84279|Kenworth|W900|2019|XI7-9335|Grey|1
97|1VWBH7A34CC000747|Kenworth|T270|2016|0P1-1K35|Black|1
98|4A3AC34G71E114809|Peterbilt|569|2016|MQ6-4R23|Black|1
99|1FCJE39H9LHB90581|Kenworth|K270E|2011|1G6-8153|White|1
100|5NPEC4AC5BH273745|Peterbilt|520|2013|jP9-2G33|Black|4
