ORDER_ID|DATE_START|DATE_END|QUALITY
5008|5/23/2018|5/23/2018||\n
5009|5/24/2018|5/24/2018||\n
5010|6/4/2018|6/4/2018||\n
5011|6/4/2018|6/4/2018||\n
5012|6/5/2018|6/5/2018||\n
5013|6/5/2018|6/5/2018||\n
5014|6/6/2018|6/6/2018||\n
5015|6/6/2018|6/6/2018||\n
5016|6/7/2018|6/7/2018||\n
5017|6/7/2018|6/7/2018||\n
5018|6/7/2018|6/7/2018||\n
5019|6/11/2018|6/11/2018||\n
5020|6/11/2018|6/11/2018||\n
5021|6/14/2018|6/14/2018||\n
5022|6/14/2018|6/14/2018||\n
5023|6/14/2018|6/14/2018||\n
5024|6/19/2018|6/19/2018||\n
5027|6/25/2018|6/25/2018||\n
5028|6/26/2018|6/26/2018||\n
5029|6/26/2018|6/26/2018||\n
5030|6/27/2018|6/27/2018||\n
5031|6/28/2018|6/28/2018||\n
5032|6/28/2018|6/28/2018||\n
5033|6/28/2018|6/28/2018||\n
5034|6/28/2018|6/28/2018||\n
5035|6/28/2018|6/28/2018||\n
5036|6/28/2018|6/28/2018||\n
5037|6/28/2018|6/28/2018||\n
5038|7/2/2018|7/2/2018||\n
5039|7/2/2018|7/2/2018||\n
5040|7/2/2018|7/2/2018||\n
5041|7/3/2018|7/3/2018||\n
5042|7/5/2018|7/5/2018||\n
5043|7/6/2018|7/6/2018||\n
5061|7/6/2018|8/6/2018||\n
5044|7/9/2018|7/9/2018||\n
5045|7/10/2018|7/10/2018||\n
5046|7/11/2018|7/11/2018||\n
5048|7/12/2018|7/12/2018||\n
5049|7/12/2018|7/12/2018||\n
5050|7/12/2018|7/12/2018||\n
5051|7/12/2018|7/12/2018||\n
5052|7/23/2018|7/23/2018||\n
5053|7/23/2018|7/23/2018||\n
5054|7/23/2018|7/23/2018||\n
5055|7/26/2018|7/26/2018||\n
5056|7/26/2018|7/26/2018||\n
5057|7/30/2018|7/30/2018||\n
5058|7/30/2018|7/30/2018||\n
5059|7/31/2018|7/31/2018||\n
5060|8/2/2018|8/2/2018||\n
5062|8/8/2018|8/8/2018||\n
5063|8/9/2018|8/9/2018||\n
5064|8/9/2018|8/9/2018||\n
5065|8/9/2018|8/9/2018||\n
5066|8/9/2018|8/9/2018||\n
5067|8/9/2018|8/9/2018||\n
5068|8/9/2018|8/9/2018||\n
5069|8/9/2018|8/9/2018||\n
5070|8/13/2018|8/13/2018||\n
5071|8/13/2018|8/13/2018||\n
5073|8/13/2018|8/13/2018||\n
5074|8/16/2018|8/16/2018||\n
5075|8/21/2018|8/21/2018||\n
5076|8/22/2018|8/22/2018||\n
5080|8/27/2018|8/27/2018||\n
5082|8/28/2018|8/28/2018||\n
5083|8/29/2018|8/29/2018||\n
5084|8/29/2018|8/29/2018||\n
5085|8/30/2018|8/30/2018||\n
5086|9/4/2018|9/4/2018||\n
5087|9/4/2018|9/4/2018||\n
5088|9/4/2018|9/4/2018||\n
5089|9/5/2018|9/5/2018||\n
5090|9/5/2018|9/5/2018||\n
5091|9/5/2018|9/5/2018||\n
5148|9/5/2018|11/5/2018||\n
5149|9/5/2018|11/5/2018||\n
5150|9/5/2018|11/5/2018||\n
5152|9/5/2018|11/5/2018||\n
5160|9/5/2018|11/5/2018||\n
5092|9/6/2018|9/6/2018||\n
5093|9/7/2018|9/7/2018||\n
5094|9/11/2018|9/11/2018||\n
5095|9/13/2018|9/13/2018||\n
5096|9/13/2018|9/13/2018||\n
5097|9/13/2018|9/13/2018||\n
5099|9/17/2018|9/17/2018||\n
5100|9/17/2018|9/17/2018||\n
5101|9/18/2018|9/18/2018||\n
5102|9/19/2018|9/19/2018||\n
5103|9/20/2018|9/20/2018||\n
5104|9/20/2018|9/20/2018||\n
5105|9/20/2018|9/20/2018||\n
5106|9/20/2018|9/20/2018||\n
5107|9/24/2018|9/24/2018||\n
5108|9/25/2018|9/25/2018||\n
5109|9/28/2018|9/28/2018||\n
5110|10/1/2018|10/1/2018||\n
5111|10/2/2018|10/2/2018||\n
5112|10/2/2018|10/2/2018||\n
5113|10/2/2018|10/2/2018||\n
5114|10/2/2018|10/2/2018||\n
5115|10/3/2018|10/3/2018||\n
5116|10/3/2018|10/3/2018||\n
5118|10/4/2018|10/4/2018||\n
5158|10/5/2018|11/5/2018||\n
5119|10/9/2018|10/9/2018||\n
5120|10/9/2018|10/9/2018||\n
5121|10/10/2018|10/10/2018||\n
5122|10/10/2018|10/10/2018||\n
5123|10/10/2018|10/10/2018||\n
5124|10/10/2018|10/10/2018||\n
5125|10/11/2018|10/11/2018||\n
5126|10/11/2018|10/11/2018||\n
5127|10/11/2018|10/11/2018||\n
5128|10/16/2018|10/16/2018||\n
5129|10/17/2018|10/17/2018||\n
5130|10/17/2018|10/17/2018||\n
5131|10/17/2018|10/17/2018||\n
5132|10/17/2018|10/17/2018||\n
5133|10/17/2018|10/17/2018||\n
5134|10/18/2018|10/18/2018||\n
5161|10/21/2018|11/5/2018||\n
5135|10/22/2018|10/22/2018||\n
5139|10/23/2018|10/23/2018||\n
5136|10/30/2018|10/30/2018||\n
5137|10/30/2018|10/30/2018||\n
5138|10/31/2018|10/31/2018||\n
5140|11/1/2018|11/1/2018||\n
5141|11/5/2018|11/5/2018||\n
5142|11/5/2018|11/5/2018||\n
5144|11/5/2018|11/5/2018||\n
5146|11/5/2018|11/5/2018||\n
5153|11/5/2018|11/5/2018||\n
5157|11/5/2018|11/5/2018||\n
5168|11/6/2018|11/6/2018||\n
5169|11/6/2018|11/6/2018||\n
5170|11/6/2018|11/6/2018||\n
5171|11/6/2018|11/6/2018||\n
5172|11/7/2018|11/7/2018||\n
5173|11/8/2018|11/8/2018||\n
5174|11/8/2018|11/8/2018||\n
5175|11/8/2018|11/8/2018||\n
5176|11/12/2018|11/12/2018||\n
5178|11/15/2018|11/15/2018||\n
5179|11/15/2018|11/15/2018||\n
5180|11/15/2018|11/15/2018||\n
5181|11/15/2018|11/15/2018||\n
5182|11/16/2018|11/16/2018||\n
5183|11/16/2018|11/16/2018||\n
5184|11/19/2018|11/19/2018||\n
5185|11/19/2018|11/19/2018||\n
5186|11/19/2018|11/19/2018||\n
5187|11/20/2018|11/20/2018||\n
5188|11/20/2018|11/20/2018||\n
5189|11/21/2018|11/21/2018||\n
5190|11/21/2018|11/21/2018||\n
5191|11/21/2018|11/21/2018||\n
5192|11/21/2018|11/21/2018||\n
5193|11/21/2018|11/21/2018||\n
5194|11/21/2018|11/21/2018||\n
5195|11/26/2018|11/26/2018||\n
5196|11/26/2018|11/26/2018||\n
5197|11/26/2018|11/26/2018||\n
5198|11/26/2018|11/26/2018||\n
5199|11/26/2018|11/26/2018||\n
5200|11/27/2018|11/27/2018||\n
5201|11/29/2018|11/29/2018||\n
5202|11/30/2018|11/30/2018||\n
5203|12/3/2018|12/3/2018||\n
5204|12/3/2018|12/3/2018||\n
5205|12/3/2018|12/3/2018||\n
5206|12/3/2018|12/3/2018||\n
5207|12/3/2018|12/3/2018||\n
5208|12/4/2018|12/4/2018||\n
5209|12/4/2018|12/4/2018||\n
5210|12/5/2018|12/5/2018||\n
5212|12/10/2018|12/10/2018||\n
5213|12/10/2018|12/10/2018||\n
5214|12/11/2018|12/11/2018||\n
5215|12/11/2018|12/11/2018||\n
5216|12/11/2018|12/11/2018||\n
5217|12/11/2018|12/11/2018||\n
5218|12/13/2018|12/13/2018||\n
5219|12/13/2018|12/13/2018||\n
5220|12/13/2018|12/13/2018||\n
5221|12/14/2018|12/14/2018||\n
5222|12/17/2018|12/17/2018||\n
5223|12/17/2018|12/17/2018||\n
5224|12/18/2018|12/18/2018||\n
5225|12/19/2018|12/19/2018||\n
5226|12/19/2018|12/19/2018||\n
5227|12/19/2018|12/19/2018||\n
5228|12/19/2018|12/19/2018||\n
5229|12/19/2018|12/19/2018||\n
5230|12/20/2018|12/20/2018||\n
5231|12/26/2018|12/26/2018||\n
5233|12/27/2018|12/27/2018||\n
5234|12/27/2018|12/27/2018||\n
5235|12/27/2018|12/27/2018||\n
5236|12/27/2018|12/27/2018||\n
